"last_name, first_name","player_id","year","hit","strikeout","walk","p_earned_run","p_save","p_blown_save","p_out","p_win","p_balk","p_quality_start","p_hit_by_pitch","p_hold","p_total_pickoff"
"Yamamoto, Yoshinobu",808967,2024,78,105,22,"30","0","0","270","7","0","7","1","0","0"
"Jackson, Jay",543351,2024,28,29,9,"22","0","0","79","1","0","0","0","1","0"
"Crouse, Hans",668968,2024,14,34,17,"8","0","1","76","4","0","0","2","1","0"
"Berroa, Prelander",672860,2024,15,26,13,"7","0","0","57","1","0","0","1","3","2"
"Steele, Justin",657006,2024,111,135,37,"46","0","0","404","5","0","11","4","0","1"
"Berríos, José",621244,2024,168,153,54,"77","0","0","577","16","0","21","13","0","2"
"Contreras, Luis",664351,2024,7,6,2,"6","0","0","18","0","0","0","0","0","0"
"Webb, Logan",657277,2024,202,172,50,"79","0","0","614","13","1","20","2","0","2"
"Winn, Keaton",676775,2024,56,48,20,"44","0","0","166","3","0","4","4","0","1"
"Grove, Michael",675627,2024,46,54,16,"29","0","1","153","4","0","0","6","7","2"
"Williams, Trevor",592866,2024,51,59,18,"15","0","0","200","6","1","1","0","0","1"
"Bubic, Kris",663460,2024,26,39,5,"9","1","3","91","1","0","0","0","7","1"
"Cruz, Fernando",518585,2024,54,109,35,"36","0","3","200","3","0","0","1","23","0"
"Miller, Bryce",682243,2024,131,171,45,"59","0","0","541","12","0","18","3","0","1"
"Thompson, Keegan",624522,2024,19,36,18,"9","2","0","91","2","0","0","0","2","0"
"Festa, Matt",670036,2024,21,24,8,"15","0","0","71","6","0","0","1","0","1"
"Anderson, Nick",623433,2024,35,29,15,"16","1","0","107","3","0","0","1","2","0"
"Kochanowicz, Jack",686799,2024,68,25,10,"29","0","0","196","2","0","8","8","0","0"
"Snider, Collin",676092,2024,36,47,13,"9","0","2","125","3","0","0","0","9","0"
"Abbott, Andrew",671096,2024,127,114,52,"57","0","0","414","10","0","9","2","0","2"
"Wheeler, Zack",554430,2024,139,224,52,"57","0","0","600","16","0","26","8","0","1"
"Lynch IV, Daniel",663738,2024,29,39,15,"16","1","0","130","2","0","0","4","0","0"
"Alvarado, José",621237,2024,49,63,28,"28","13","3","185","2","0","0","1","10","0"
"Wells, Tyler",669330,2024,18,13,3,"10","0","0","46","0","0","1","0","0","0"
"Adcock, Ty",686654,2024,7,3,2,"7","0","0","13","0","0","0","0","1","0"
"Ramírez, Yohan",670990,2024,49,45,17,"31","1","2","135","0","1","0","12","3","2"
"Núñez, Dedniel",673380,2024,24,48,8,"9","1","1","105","2","2","0","0","9","0"
"Matzek, Tyler",554431,2024,16,10,3,"11","0","0","30","0","0","0","0","3","0"
"Romero, JoJo",668941,2024,52,51,16,"22","1","8","177","7","0","0","5","30","0"
"Kinley, Tyler",641755,2024,61,72,33,"44","12","1","192","6","0","0","2","14","1"
"Criswell, Jeff",676105,2024,20,27,9,"6","0","0","59","1","0","0","1","0","0"
"Bivens, Spencer",702352,2024,47,37,11,"17","1","0","146","3","0","0","1","2","0"
"Bird, Jake",656234,2024,43,31,25,"20","1","2","120","2","0","0","4","4","0"
"Bush, Ky",681066,2024,20,11,16,"11","0","0","53","0","0","1","1","0","1"
"Zastryzny, Rob",642239,2024,4,5,1,"1","0","0","23","1","0","0","1","0","1"
"Keller, Brad",641745,2024,48,32,15,"25","1","1","124","0","0","0","2","0","0"
"Vines, Darius",670241,2024,21,9,4,"13","0","0","41","0","0","0","1","0","1"
"Anderson, Grant",681982,2024,33,29,10,"24","1","1","80","0","0","0","1","1","0"
"Heasley, Jonathan",669169,2024,10,4,3,"10","0","0","16","0","0","0","1","0","1"
"Ober, Bailey",641927,2024,136,191,43,"79","0","0","536","12","0","18","6","0","1"
"Barlow, Scott",605130,2024,44,68,31,"26","2","1","165","3","0","0","4","19","1"
"Mahle, Tyler",641816,2024,14,10,4,"7","0","0","38","0","0","0","1","0","0"
"Whitlock, Garrett",676477,2024,14,17,7,"4","0","0","55","1","0","0","1","0","0"
"Nicolas, Kyle",693312,2024,51,55,32,"24","0","0","164","2","1","0","4","8","0"
"Gray, Jon",592351,2024,107,86,28,"51","0","0","308","5","0","7","0","0","1"
"Bolton, Cody",675989,2024,18,17,9,"9","0","0","56","0","0","0","0","0","1"
"Bernardino, Brennan",657514,2024,50,56,22,"23","0","2","153","4","0","0","6","14","2"
"Shugart, Chase",663767,2024,8,8,3,"4","1","0","26","0","0","0","0","0","0"
"Kahnle, Tommy",592454,2024,30,46,19,"10","1","0","128","0","0","0","2","16","0"
"Dubin, Shawn",681869,2024,45,49,26,"21","2","0","136","1","0","0","2","0","0"
"Criswell, Cooper",681867,2024,103,73,31,"45","0","1","298","6","0","1","7","0","0"
"Lucchesi, Joey",664192,2024,8,7,8,"6","0","0","31","0","0","1","0","0","0"
"Petersen, Michael",656848,2024,21,14,11,"13","0","1","59","3","1","0","1","1","0"
"Peralta, Wandy",593974,2024,33,22,13,"17","0","1","115","3","0","0","5","11","0"
"Leclerc, José",600917,2024,56,89,32,"32","1","3","200","6","2","0","4","13","0"
"Cantillo, Joey",676282,2024,35,44,15,"21","0","0","116","2","0","1","0","0","0"
"Martin, Chris",455119,2024,47,50,3,"17","2","4","133","3","0","0","3","15","1"
"Nola, Aaron",605400,2024,189,197,50,"79","0","0","598","14","0","20","3","0","1"
"Bednar, David",670280,2024,54,58,28,"37","23","7","173","3","0","0","3","3","0"
"O'Brien, Riley",676617,2024,13,11,8,"10","0","1","24","0","0","0","1","0","0"
"Daniel, Davis",669721,2024,39,28,6,"21","0","0","91","1","1","1","1","0","0"
"Turnbull, Spencer",605513,2024,37,58,20,"16","0","0","163","3","0","2","5","1","1"
"Klein, Will",694361,2024,12,7,6,"9","0","0","22","1","0","0","0","0","1"
"Robertson, David",502085,2024,53,99,28,"24","2","8","216","3","1","0","5","34","0"
"Jiménez, Joe",641729,2024,45,82,23,"20","3","3","206","1","0","0","4","27","0"
"Cisnero, José",542585,2024,18,17,8,"12","0","1","47","0","0","0","2","1","0"
"Burr, Ryan",621114,2024,29,47,12,"15","0","1","98","0","0","0","1","3","0"
"Pearson, Nate",663878,2024,67,74,21,"33","2","2","199","2","0","0","3","11","0"
"Ross, Joe",605452,2024,72,66,29,"31","0","0","222","3","0","2","1","0","0"
"Aguiar, Julian",687924,2024,30,19,12,"22","0","0","95","2","0","2","5","0","0"
"Baker, Bryan",641329,2024,20,23,7,"13","0","0","70","1","0","0","0","3","0"
"Scott, Tanner",656945,2024,45,84,36,"14","22","2","216","9","0","0","1","11","0"
"Lawrence, Justin",664875,2024,73,45,33,"43","2","4","179","4","0","0","7","5","2"
"Lopez, Jacob",682052,2024,5,8,7,"6","0","0","31","0","0","0","2","0","0"
"Law, Derek",571882,2024,82,76,24,"26","1","5","270","7","0","0","1","17","0"
"Mena, Cristian",691441,2024,4,2,3,"4","0","0","9","0","1","0","0","0","0"
"Verlander, Justin",434378,2024,98,74,27,"55","0","0","271","5","1","6","6","0","1"
"Eisert, Brandon",685126,2024,5,2,4,"3","0","0","20","0","0","0","0","0","0"
"Schmidt, Clarke",657376,2024,71,93,30,"27","0","0","256","5","0","2","9","0","1"
